city,brand,model,href,price,year,mileage,body_type,colour,engine_info,credit_per_month,transmission,drive,hand_drive,condition,owners_num,doc_unique
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098297094-bda906af/,499 000 ₽,2016,93 000 км,седан,белый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098359134-0f048a30/,210 000 ₽,2005,160 000 км,седан,серебристый,1.5 л / 97 л.с. / Бензин,970 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098360258-ec652de0/,488 000 ₽,2012,85 000 км,седан,серебристый,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098360524-45ac7585/,345 000 ₽,2010,72 000 км,седан,белый,1.4 л / 97 л.с. / Бензин,1 940 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098371630-757eda99/,590 000 ₽,2016,96 000 км,седан,серый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098389808-8c3bc0bb/,340 000 ₽,2010,148 000 км,седан,чёрный,1.4 л / 95 л.с. / Бензин,2 138 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098400154-bd9276d2/,830 000 ₽,2019,9 800 км,седан,белый,1.4 л / 100 л.с. / Бензин,2 250 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098418578-201c8330/,400 000 ₽,2012,183 000 км,седан,белый,1.4 л / 107 л.с. / Бензин,2 140 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098481706-ecea717e/,600 000 ₽,2017,123 000 км,седан,серый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098495626-842dde0d/,510 000 ₽,2014,140 000 км,седан,чёрный,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
