city,brand,model,price,year,mileage,body_type,colour,transmission,drive,owners_num,doc_unique,engine_type,volume,horsepower
1,1,3,800000.0,2018,19000.0,4,14,0,0,2,1,0,1.6,123.0
1,1,3,500010.0,2015,82000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,430000.0,2014,97723.0,1,14,1,0,2,1,0,1.6,123.0
1,1,3,780000.0,2017,48295.0,4,11,0,0,2,1,0,1.6,123.0
1,1,3,560000.0,2015,72000.0,1,11,1,0,2,1,0,1.6,123.0
1,1,3,509000.0,2016,50000.0,4,10,1,0,1,1,0,1.4,107.0
1,1,3,500000.0,2016,165000.0,1,11,1,0,2,1,0,1.4,107.0
1,1,3,370000.0,2012,183604.0,1,14,1,0,1,1,0,1.4,107.0
1,1,3,460000.0,2012,95000.0,1,1,1,0,3,1,0,1.6,123.0
1,1,3,340000.0,2012,125000.0,1,11,1,0,1,0,0,1.4,107.0
1,1,3,265000.0,2010,210000.0,1,10,1,0,3,1,0,1.4,97.0
1,1,3,850000.0,2019,8000.0,1,12,0,0,1,1,0,1.4,100.0
1,1,3,610000.0,2016,74800.0,1,1,1,0,2,1,0,1.4,107.0
1,1,3,589000.0,2016,125000.0,1,11,1,0,1,1,0,1.6,123.0
1,1,3,275000.0,2007,156758.0,4,10,0,0,3,0,0,1.4,97.0
1,1,3,490000.0,2013,40000.0,1,2,1,0,1,1,0,1.6,123.0
1,1,3,955000.0,2020,4200.0,1,10,1,0,1,1,0,1.6,123.0
1,1,3,765000.0,2018,30700.0,4,11,0,0,2,1,0,1.4,100.0
1,1,3,315000.0,2010,292000.0,4,12,1,0,2,1,0,1.4,95.0
1,1,3,370000.0,2013,216592.0,1,14,1,0,3,0,0,1.4,107.0
1,1,3,855000.0,2020,1.0,4,14,1,0,1,1,0,1.6,123.0
1,1,3,580000.0,2014,74800.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,643000.0,2017,73000.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,335000.0,2011,112000.0,1,10,1,0,2,1,0,1.4,95.0
1,1,3,480000.0,2012,110000.0,4,10,0,0,3,1,0,1.4,107.0
1,1,3,365000.0,2012,139209.0,1,10,1,0,2,1,0,1.4,107.0
1,1,3,550000.0,2017,170000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,575000.0,2015,93400.0,1,1,1,0,2,1,0,1.6,123.0
1,1,3,370000.0,2014,160000.0,1,1,1,0,2,1,0,1.4,107.0
1,1,3,595000.0,2017,83655.0,1,1,1,0,2,1,0,1.4,100.0
1,1,3,400000.0,2013,150000.0,1,2,0,0,2,1,0,1.4,107.0
1,1,3,687000.0,2016,55000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,445000.0,2013,138000.0,1,11,1,0,1,1,0,1.4,107.0
1,1,3,850000.0,2019,10000.0,4,1,1,0,1,1,0,1.6,123.0
1,1,3,510000.0,2015,66700.0,1,11,1,0,1,1,0,1.4,107.0
1,1,3,450000.0,2012,112000.0,1,11,0,0,2,1,0,1.4,107.0
1,1,3,535000.0,2015,58000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,570000.0,2014,33000.0,4,7,0,0,1,1,0,1.4,107.0
1,1,3,860000.0,2018,30000.0,4,7,0,0,1,1,0,1.6,123.0
1,1,3,599000.0,2015,29535.0,1,10,1,0,2,1,0,1.6,123.0
1,1,3,685000.0,2017,74500.0,1,14,0,0,1,1,0,1.6,123.0
1,1,3,485000.0,2015,110000.0,1,14,1,0,3,1,0,1.6,123.0
1,1,3,690000.0,2017,33000.0,4,6,0,0,2,1,0,1.6,123.0
1,1,3,925000.0,2019,8000.0,4,14,0,0,1,1,0,1.6,123.0
1,1,3,450000.0,2012,170000.0,1,14,1,0,1,1,0,1.6,123.0
1,1,3,659000.0,2016,99000.0,4,6,0,0,2,1,0,1.6,123.0
1,1,3,660000.0,2017,55000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,565000.0,2017,139938.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,572000.0,2016,81481.0,1,11,1,0,1,1,0,1.4,107.0
1,1,3,330000.0,2010,181500.0,1,14,0,0,3,1,0,1.4,95.0
1,1,3,599900.0,2014,38000.0,1,5,0,0,1,1,0,1.6,123.0
1,1,3,370000.0,2013,86800.0,1,14,1,0,3,1,0,1.6,123.0
1,1,3,410000.0,2012,151000.0,4,1,1,0,2,1,0,1.4,107.0
1,1,3,465000.0,2016,87000.0,1,1,1,0,2,1,0,1.4,107.0
1,1,3,433000.0,2012,135000.0,1,4,0,0,3,1,0,1.6,123.0
1,1,3,399000.0,2013,154000.0,1,7,1,0,1,1,0,1.4,107.0
1,1,3,285000.0,2010,177157.0,1,12,1,0,3,1,0,1.4,95.0
1,1,3,600000.0,2016,63000.0,1,1,1,0,2,0,0,1.6,123.0
1,1,3,420000.0,2013,48400.0,1,14,1,0,1,1,0,1.6,123.0
1,1,3,426000.0,2011,113000.0,1,14,1,0,2,1,0,1.4,107.0
1,1,3,328000.0,2010,139690.0,1,7,1,0,3,1,0,1.4,97.0
1,1,3,629900.0,2017,105000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,330000.0,2014,244000.0,1,1,1,0,2,1,0,1.4,107.0
1,1,3,539000.0,2014,95000.0,1,1,1,0,3,1,0,1.6,123.0
1,1,3,510000.0,2015,115000.0,1,1,1,0,2,1,0,1.4,107.0
1,1,3,535000.0,2014,66000.0,1,11,1,0,3,0,0,1.6,123.0
1,1,3,473000.0,2013,116000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,450000.0,2013,117000.0,1,10,1,0,1,1,0,1.4,107.0
1,1,3,440000.0,2014,200000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,570000.0,2015,71000.0,1,10,1,0,2,1,0,1.6,123.0
1,1,3,650000.0,2017,60000.0,1,14,0,0,1,1,0,1.6,123.0
1,1,3,569000.0,2016,93000.0,1,11,1,0,1,1,0,1.4,107.0
1,1,3,455000.0,2012,81000.0,4,1,1,0,3,1,0,1.4,107.0
1,1,3,638000.0,2016,56000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,759000.0,2018,75000.0,4,7,0,0,1,1,0,1.6,123.0
1,1,3,638000.0,2016,76000.0,1,6,1,0,2,1,0,1.6,123.0
1,1,3,639000.0,2015,81000.0,4,12,1,0,1,1,0,1.6,123.0
1,1,3,648000.0,2017,67000.0,4,10,1,0,1,1,0,1.6,123.0
1,1,3,483000.0,2011,62912.0,1,12,0,0,2,1,0,1.6,123.0
1,1,3,499000.0,2015,69400.0,1,1,1,0,2,1,0,1.6,123.0
1,1,3,440000.0,2014,203000.0,1,7,1,0,1,1,0,1.6,123.0
1,1,3,539000.0,2013,85550.0,4,7,0,0,2,1,0,1.6,123.0
1,1,3,470000.0,2013,133822.0,1,14,0,0,3,1,0,1.6,123.0
1,1,3,600000.0,2016,148000.0,4,10,0,0,1,1,0,1.6,123.0
1,1,3,750000.0,2017,51000.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,520000.0,2015,59000.0,1,14,1,0,1,1,0,1.4,107.0
1,1,3,720000.0,2019,50000.0,1,1,1,0,1,1,0,1.4,100.0
1,1,3,690000.0,2016,92000.0,1,14,0,0,1,1,0,1.6,123.0
1,1,3,328000.0,2011,170000.0,1,8,1,0,2,1,0,1.4,95.0
1,1,3,347000.0,2011,147000.0,1,11,1,0,3,0,0,1.4,95.0
1,1,3,510000.0,2012,106500.0,1,11,0,0,2,1,0,1.6,123.0
1,1,3,370000.0,2010,83000.0,1,14,0,0,3,0,0,1.4,95.0
1,1,3,765000.0,2017,22000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,630000.0,2016,76000.0,1,1,0,0,2,1,0,1.6,123.0
1,1,3,535000.0,2012,103000.0,1,11,1,0,1,1,0,1.6,123.0
