city,brand,model,price,year,mileage,body_type,colour,annual_car_tax,transmission,drive,hand_drive,owners_num,doc_unique,engine_type,volume,horsepower
kazan,kia,rio,399999.0,2014,148000.0,хэтчбек 5 дв.,белый,3210.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,830000.0,2019,27000.0,седан,белый,3690.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,640000.0,2016,73600.0,седан,серый,3567.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,510000.0,2015,133000.0,седан,чёрный,3444.0,механическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,925000.0,2019,35000.0,хэтчбек 5 дв.,серебристый,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,719000.0,2017,81652.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,430000.0,2012,76000.0,седан,чёрный,3745.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,380000.0,2012,225600.0,седан,белый,3210.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,380000.0,2012,90000.0,седан,серый,2996.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,475000.0,2015,101000.0,седан,бежевый,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,420000.0,2014,77000.0,седан,чёрный,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,430000.0,2014,140000.0,седан,серый,3745.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,630000.0,2017,15000.0,седан,серый,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,275000.0,2008,137000.0,седан,серый,970.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,97.0
kazan,kia,rio,650000.0,2017,78000.0,седан,белый,3444.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,460000.0,2013,133000.0,седан,серебристый,4305.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,565000.0,2015,78000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,485000.0,2015,45500.0,седан,белый,3745.0,механическая,передний,Левый,2,Дубликат,Бензин,1.4,107.0
kazan,kia,rio,430000.0,2014,130000.0,седан,белый,3103.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,476000.0,2013,186000.0,седан,серебристый,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,410000.0,2013,105000.0,седан,серебристый,3745.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,724000.0,2017,43000.0,седан,серебристый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,540000.0,2016,68000.0,седан,белый,3745.0,механическая,передний,Левый,1,Дубликат,Бензин,1.4,107.0
kazan,kia,rio,500000.0,2014,102000.0,седан,чёрный,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,530000.0,2015,34200.0,седан,белый,2568.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,320000.0,2013,348300.0,седан,белый,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,450000.0,2014,78000.0,седан,белый,2996.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,420000.0,2012,134000.0,седан,серый,4305.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,480000.0,2013,130000.0,седан,серый,3444.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,825000.0,2018,49000.0,седан,серый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,330000.0,2011,168000.0,хэтчбек 5 дв.,белый,1358.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.4,97.0
kazan,kia,rio,990000.0,2018,43000.0,хэтчбек 5 дв.,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,630000.0,2016,160000.0,седан,коричневый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,304000.0,2012,135000.0,хэтчбек 5 дв.,белый,2568.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,445000.0,2014,100000.0,седан,серый,3745.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,400000.0,2011,94000.0,седан,синий,3103.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,470000.0,2015,90000.0,седан,серый,3745.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,400000.0,2012,143000.0,седан,серый,3690.0,механическая,передний,Левый,3,Дубликат,Бензин,1.6,123.0
kazan,kia,rio,630000.0,2017,70000.0,седан,белый,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,640000.0,2017,50000.0,хэтчбек 5 дв.,серебристый,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,695000.0,2017,71000.0,седан,чёрный,3444.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,750000.0,2017,48000.0,седан,белый,3690.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,575000.0,2017,59000.0,хэтчбек 5 дв.,чёрный,2568.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,535000.0,2014,68000.0,седан,белый,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,600000.0,2014,71000.0,хэтчбек 5 дв.,белый,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
